Nome,Satisfacao_salario,Satisfacao_empregado,indice,qtd_total_reclamacoes,qtd_total_clientes,segmento,CNPJ
ALFA,3.8,47, ,480,423848.4285714286,S3,60770336
BANCO DO NORDESTE DO BRASIL S.A.,4.2,83, ,490,8966108.714285715,S2,7237373
BANCO FIBRA S.A.,4.2,84, ,17,163767.16666666666,S3,58616418
BANRISUL,4.1,59,"14,72",3689,5107234.571428572,S2,92702067
BMG,4.2,63,"101,86",12161,9491476.57142857,S3,61186680
BNP PARIBAS,3.4,63,"125,22",4624,2211990.5714285714,S3,1522368
BOFA MERRILL LYNCH,3.8,61, ,7,4732,S3,62073200
BRADESCO,4.3,66,"21,64",60835,100752267.57142857,S1,60746948
BTG PACTUAL,4.4,73, ,133,766998,S1,30306294
CITIBANK,3.8,68, ,97,18253.85714285714,S2,33479023
CREDIT SUISSE,3.6,34, ,4,5997,S2,33987793
ITAU,4.6,82,"12,26",43280,90339230.71428572,S1,60872504
JP MORGAN CHASE,3.9,76.5, ,9,2908,S3,33172537
MERCEDES-BENZ,4,53.5, ,35,19882.714285714286,S3,60814191
ORIGINAL,4,53,"14,35",10168,25494336.285714287,S3,92894922
PAN,4.6,79,"245,28",3953,8907890,S3,59285411
PINE,3.9,50, ,29,33519.42857142857,S3,62144175
SAFRA,3.8,47,"103,36",9914,4705216.714285715,S2,58160789
SANTANDER,4,65,"21,05",45423,56422443.428571425,S1,90400888
SICREDI,4.1,80, ,18,6438476,S3,1181521
SOCIETE GENERALE,3.3,55, ,6,528,S3,61533584
VOTORANTIM,3.9499999999999997,79,"13,05",4529,17275235.57142857,S2,59588111
